prospect_id,listing_id,listing_url,make,model,year,maintenance_signal,tracking_url,message_variant,sent_at,notes
MP011,m2436638302,https://www.marktplaats.nl/v/motoren/motoren-bmw/m2436638302-bmw-r-1200-gs-triple-black,BMW,R 1200 GS Triple Black,2011,A,https://app.garagebook.nl/start?utm_source=marktplaats&utm_medium=outreach&utm_campaign=marktplaats2026&campaign_slug=marktplaats2026&source=marktplaats&prospect_id=MP011,A,,Goed onderhouden; onderhoudshistorie bekend; z.g.a.n. banden.
MP012,m2435141552,https://www.marktplaats.nl/v/motoren/motoren-bmw/m2435141552-bmw-r1200gs-adventure,BMW,R 1200 GS Adventure,2009,A,https://app.garagebook.nl/start?utm_source=marktplaats&utm_medium=outreach&utm_campaign=marktplaats2026&campaign_slug=marktplaats2026&source=marktplaats&prospect_id=MP012,A,,Aantoonbaar onderhoud; factuur van EUR 2600 aanwezig; grote lijst werkzaamheden juli 2025.
MP013,m2431265533,https://www.marktplaats.nl/v/motoren/motoren-bmw/m2431265533-bmw-r1200-gs-adventure-triple-black-akrapovic-38-500km,BMW,R 1200 GS Adventure Triple Black,2015,A,https://app.garagebook.nl/start?utm_source=marktplaats&utm_medium=outreach&utm_campaign=marktplaats2026&campaign_slug=marktplaats2026&source=marktplaats&prospect_id=MP013,A,,Volledig BMW-dealer onderhouden; 40000 km-beurt preventief uitgevoerd; nieuwe banden en accu.
MP014,m2404916393,https://www.marktplaats.nl/v/motoren/motoren-bmw/m2404916393-zeer-nette-bmw-r-1200-gs-adventure-volledige-kofferset,BMW,R 1200 GS Adventure,2011,A,https://app.garagebook.nl/start?utm_source=marktplaats&utm_medium=outreach&utm_campaign=marktplaats2026&campaign_slug=marktplaats2026&source=marktplaats&prospect_id=MP014,A,,Aantoonbaar gekocht bij Duitse BMW-dealer; documentatie; recente kleine beurt 21-03-2026.
MP015,m2416597106,https://www.marktplaats.nl/v/motoren/motoren-bmw/m2416597106-bmw-r1200-gs-2015-abs,BMW,R 1200 GS,2015,A,https://app.garagebook.nl/start?utm_source=marktplaats&utm_medium=outreach&utm_campaign=marktplaats2026&campaign_slug=marktplaats2026&source=marktplaats&prospect_id=MP015,A,,Volledig onderhouden; volledige onderhoudsgeschiedenis gedocumenteerd.
MP016,m2436337022,https://www.marktplaats.nl/v/motoren/motoren-kawasaki/m2436337022-kawasaki-z900-abs-2018,Kawasaki,Z900 ABS,2018,C,https://app.garagebook.nl/start?utm_source=marktplaats&utm_medium=outreach&utm_campaign=marktplaats2026&campaign_slug=marktplaats2026&source=marktplaats&prospect_id=MP016,C,,Particulier volgens zoekresultaat; km als 16xxx; geen concrete onderhoudsinformatie zichtbaar.
MP017,m2436176612,https://www.marktplaats.nl/v/motoren/motoren-kawasaki/m2436176612-kawasaki-z900-se-met-veel-extra-s-6500km,Kawasaki,Z900 SE,,C,https://app.garagebook.nl/start?utm_source=marktplaats&utm_medium=outreach&utm_campaign=marktplaats2026&campaign_slug=marktplaats2026&source=marktplaats&prospect_id=MP017,C,,Particulier volgens zoekresultaat; veel performance-aanpassingen; geen onderhoudsinformatie zichtbaar.
MP018,m2434242388,https://www.marktplaats.nl/v/motoren/motoren-kawasaki/m2434242388-kawasaki-z900-performance-2017-akrapovic-uitlaat,Kawasaki,Z900 Performance,2017,A,https://app.garagebook.nl/start?utm_source=marktplaats&utm_medium=outreach&utm_campaign=marktplaats2026&campaign_slug=marktplaats2026&source=marktplaats&prospect_id=MP018,A,,Begin dit jaar grote beurt bij ca. 21500 km; voorband vernieuwd.
MP019,m2429623187,https://www.marktplaats.nl/v/motoren/motoren-honda/m2429623187-honda-cbr400rr-nc23-uit-1988-circuit-straatklaar,Honda,CBR400RR NC23,1988,B,https://app.garagebook.nl/start?utm_source=marktplaats&utm_medium=outreach&utm_campaign=marktplaats2026&campaign_slug=marktplaats2026&source=marktplaats&prospect_id=MP019,B,,"Complete straatklare circuit/straatmotor; recente voorvorkveren, achterschokbreker en ketting/tandwielset."
MP020,m2403133950,https://www.marktplaats.nl/v/motoren/motoren-honda/m2403133950-honda-cbr600rr-2005-pc37,Honda,CBR600RR PC37,2005,B,https://app.garagebook.nl/start?utm_source=marktplaats&utm_medium=outreach&utm_campaign=marktplaats2026&campaign_slug=marktplaats2026&source=marktplaats&prospect_id=MP020,B,,Goed onderhouden genoemd; slijtageonderdelen en banden in goede staat.
MP021,m2431414666,https://www.marktplaats.nl/v/motoren/motoren-honda/m2431414666-honda-cbr600rr-pc40-2008-nieuwe-sportbanden-racing-slip-on,Honda,CBR600RR PC40,2008,A,https://app.garagebook.nl/start?utm_source=marktplaats&utm_medium=outreach&utm_campaign=marktplaats2026&campaign_slug=marktplaats2026&source=marktplaats&prospect_id=MP021,A,,Volledige onderhoudshistorie aanwezig; nieuwe Michelin sportbanden op 12-08-2026.
MP022,m2434585498,https://www.marktplaats.nl/v/motoren/motoren-yamaha/m2434585498-yamaha-mt09-gen-2-akrapovic-2019-17-600-km-usb,Yamaha,MT-09 Gen 2,2019,B,https://app.garagebook.nl/start?utm_source=marktplaats&utm_medium=outreach&utm_campaign=marktplaats2026&campaign_slug=marktplaats2026&source=marktplaats&prospect_id=MP022,B,,Aankoopbon aanwezig; jaarlijks beurtje gehad.
MP023,m2432065706,https://www.marktplaats.nl/v/motoren/motoren-yamaha/m2432065706-yamaha-mt-09-2023-origineel-dealer-onderhouden,Yamaha,MT-09,2023,A,https://app.garagebook.nl/start?utm_source=marktplaats&utm_medium=outreach&utm_campaign=marktplaats2026&campaign_slug=marktplaats2026&source=marktplaats&prospect_id=MP023,A,,Dealeronderhouden; volledige historie/documentatie; laatste beurt in mei; nieuwe banden 500 km geleden.
MP024,m2436511092,https://www.marktplaats.nl/v/motoren/motoren-yamaha/m2436511092-yamaha-mt09,Yamaha,MT-09,2017,B,https://app.garagebook.nl/start?utm_source=marktplaats&utm_medium=outreach&utm_campaign=marktplaats2026&campaign_slug=marktplaats2026&source=marktplaats&prospect_id=MP024,B,,"Recent olie, oliefilter, iridium bougies en luchtfilter vervangen."
