name,website,category,region,contact_name,email,priority,warmth,score,status,notes,partner_slug
BMW GS Club Nederland,https://www.bmwgsclub.nl/,Motorclub,Landelijk,,bestuur@bmwgsclub.nl,A,Warm,9,ready,"campaign_slug=club2026; subcategory=merk-en-modelclub; email_status=found; email_type=board; source_url=https://www.bmwgsclub.nl/; confidence=high; why_interesting=Landelijke actieve modelcommunity rond veelgebruikte toermotoren; approach_strategy=Benader bestuur met onderhoudshistorie als relevant ledenvoordeel; newsletter_status=onbekend; estimated_reach=.",bmw-gs-club-nederland
Motor Club Baliebikers,https://www.baliebikers.nl/,Motorclub,Utrecht,,secretaris@baliebikers.nl,A,Warm,8,ready,"campaign_slug=club2026; subcategory=toerclub; email_status=found; email_type=secretary; source_url=https://www.baliebikers.nl/de-club/; confidence=high; why_interesting=Officiële actieve vereniging met clubritten en e-mailcommunicatie; approach_strategy=Benader secretariaat met concreet ledenaanbod; newsletter_status=ja; estimated_reach=.",motor-club-baliebikers
Twentse Motorclub,https://twentsemotorclub.nl/,Motorclub,Overijssel,,secretaris@twentsemotorclub.nl,A,Warm,8,ready,"campaign_slug=club2026; subcategory=toerclub; email_status=found; email_type=secretary; source_url=https://twentsemotorclub.nl/contact/; confidence=high; why_interesting=Gevestigde vereniging met clubavonden en openbare activiteiten; approach_strategy=Persoonlijke bestuursbenadering rond ledenvoordeel; newsletter_status=onbekend; estimated_reach=.",twentse-motorclub
Motorclub Veendam,https://www.mcveendam.nl/,Motorclub,Groningen,,info@mcveendam.nl,B,Lauw,7,ready,"campaign_slug=club2026; subcategory=motorsportvereniging; email_status=found; email_type=general; source_url=https://www.mcveendam.nl/contact/; confidence=high; why_interesting=Actieve vereniging met brede motorcommunity en vrijwilligers; approach_strategy=Positioneer als digitaal onderhoudsplatform voor clubleden; newsletter_status=onbekend; estimated_reach=.",motorclub-veendam
Friesche Motorclub,https://www.fmc.nu/,Motorclub,Friesland,,info@fmc.nu,A,Warm,10,ready,"campaign_slug=club2026; subcategory=toerclub; email_status=found; email_type=general; source_url=https://www.fmc.nu/contact/; confidence=high; why_interesting=Grote actieve vereniging achter de Elfstedentocht en eigen clubblad; approach_strategy=Benader met landelijke zichtbaarheid en nieuwsbriefwaarde; newsletter_status=ja; estimated_reach=3500 deelnemers Elfstedentocht publiek vermeld.",friesche-motorclub
Motorclub Nieuwegein,https://motorclubnieuwegein.nl/,Motorclub,Utrecht,,info@motorclubnieuwegein.nl,B,Lauw,7,ready,"campaign_slug=club2026; subcategory=toerclub; email_status=found; email_type=general; source_url=https://motorclubnieuwegein.nl/wp-content/uploads/2025/02/Clubblad-2024-08.pdf; confidence=medium; why_interesting=Lang bestaande toerclub met eigen clubblad; approach_strategy=Benader algemeen adres voor plaatsing in clubcommunicatie; newsletter_status=ja; estimated_reach=.",motorclub-nieuwegein
Motorclub RAM Raalte,https://www.ramraalte.nl/,Motorclub,Overijssel,,secretaris@ramraalte.nl,A,Warm,8,ready,"campaign_slug=club2026; subcategory=toerclub; email_status=found; email_type=secretary; source_url=https://www.ramraalte.nl/contact/; confidence=high; why_interesting=Actieve toerclub met circa zestig leden en veel jaarlijkse activiteiten; approach_strategy=Benader secretaris met ledenvoordeel voor onderhoud en ritten; newsletter_status=ja; estimated_reach=circa 60 leden.",motorclub-ram-raalte
Motorclub Bartje,https://www.mcbartje.nl/,Motorclub,Drenthe,,secretaris@mcbartje.nl,A,Warm,8,ready,"campaign_slug=club2026; subcategory=toerclub; email_status=found; email_type=secretary; source_url=https://www.mcbartje.nl/evenementen/; confidence=high; why_interesting=Officiële actieve vereniging met meerdere open toertochten in 2026; approach_strategy=Benader secretariaat rond deelname en ledencommunicatie; newsletter_status=onbekend; estimated_reach=.",motorclub-bartje
MC Grathem,https://www.mcgrathem.nl/,Motorclub,Limburg,,secretaris@mcgrathem.nl,A,Warm,9,ready,"campaign_slug=club2026; subcategory=toerclub; email_status=found; email_type=secretary; source_url=https://www.mcgrathem.nl/contact/; confidence=high; why_interesting=Actieve vereniging met ruim honderd leden en openbare 2026-ritten; approach_strategy=Benader secretaris met voorstel voor clubbrede introductie; newsletter_status=onbekend; estimated_reach=100+ leden.",mc-grathem
Motorclub Oss,https://motorcluboss.nl/,Motorclub,Noord-Brabant,,info@motorcluboss.nl,B,Lauw,7,ready,"campaign_slug=club2026; subcategory=motorsportvereniging; email_status=found; email_type=general; source_url=https://motorcluboss.nl/en/contact/; confidence=high; why_interesting=Gevestigde motorvereniging met actieve community en evenementen; approach_strategy=Benadruk digitaal onderhoud en voertuigadministratie voor leden; newsletter_status=onbekend; estimated_reach=.",motorclub-oss
Motorclub Laurentia,https://mc-laurentia.nl/,Motorclub,Noord-Brabant,,mclaurentia@gmail.com,B,Lauw,7,ready,"campaign_slug=club2026; subcategory=toerclub; email_status=found; email_type=general; source_url=https://mc-laurentia.nl/onewebmedia/2025%20MCL%20Jaarboek%20zonder%20ledenlijst%20en%20opgaveformulier.pdf; confidence=medium; why_interesting=Actieve vereniging met recent jaarboek en vaste clubcommunicatie; approach_strategy=Benader het publiek vermelde clubadres voor ledenactie; newsletter_status=ja; estimated_reach=.",motorclub-laurentia
Motor Tour Club Mariahout,https://mtcmariahout.nl/,Motorclub,Noord-Brabant,,mtcmariahout@gmail.com,B,Lauw,7,ready,"campaign_slug=club2026; subcategory=toerclub; email_status=found; email_type=general; source_url=https://mtcmariahout.nl/contact/; confidence=high; why_interesting=Actieve regionale toerclub met agenda 2026; approach_strategy=Korte introductie gericht op gezamenlijk toerende leden; newsletter_status=onbekend; estimated_reach=.",motor-tour-club-mariahout
Maastrichtse Motor Club '72,https://www.mmc72.nl/,Motorclub,Limburg,,pr@mmc72.nl,A,Warm,9,ready,"campaign_slug=club2026; subcategory=toerclub; email_status=found; email_type=pr; source_url=https://www.mmc72.nl/; confidence=high; why_interesting=Actieve club met maandelijkse digitale clubuitgave en omvangrijke 2026-kalender; approach_strategy=Benader PR voor redactionele opname en ledenactie; newsletter_status=ja; estimated_reach=.",maastrichtse-motor-club-72
Motorclub MC93,https://www.mc93.nl/,Motorclub,Overijssel,,,B,Lauw,6,enrichment,"campaign_slug=club2026; subcategory=toerclub; email_status=missing; email_type=; source_url=https://www.mc93.nl/contact/; confidence=high; why_interesting=Actieve vereniging met actuele 2026-toerkalender; approach_strategy=Eerst officieel clubadres verifiëren; newsletter_status=onbekend; estimated_reach=; notes_detail=officiële site toont alleen contactformulier en dat telt niet als e-mailadres.",motorclub-mc93
Motor Toer Club Limburg,https://www.motortoerclublimburg.nl/,Motorclub,Limburg,,,B,Lauw,6,enrichment,"campaign_slug=club2026; subcategory=toerclub; email_status=missing; email_type=; source_url=https://www.motortoerclublimburg.nl/over-ons/; confidence=high; why_interesting=Actieve regionale toerclub met circa twaalf ritten per jaar; approach_strategy=Eerst zichtbaar officieel adres verkrijgen; newsletter_status=onbekend; estimated_reach=; notes_detail=officiële site bevat een afgeschermd e-mailadres dat niet betrouwbaar uitgelezen kon worden.",motor-toer-club-limburg
Dutch Motorclub Pink Spirit,https://www.pinkspirit.nl/cms/,Motorclub,Landelijk,,,B,Lauw,7,enrichment,"campaign_slug=club2026; subcategory=landelijke-communityclub; email_status=missing; email_type=; source_url=https://www.pinkspirit.nl/cms/; confidence=high; why_interesting=Actieve landelijke vereniging met ruim honderdvijftig motorrijders en maandelijkse activiteiten; approach_strategy=Eerst officieel clubadres opvragen of publiek verifiëren; newsletter_status=onbekend; estimated_reach=150+ leden; notes_detail=officiële site biedt uitsluitend een contactformulier en dat telt niet als e-mailadres.",dutch-motorclub-pink-spirit
